SelectedPixelDifference,NormalizedActivity,Rat,Condition,Date,RelativeDay
247156.859380207,-0.28829106809678,Canute,1000Lux1,13-Dec-2023 23:21:02,1.00172978991571
264505.600902379,-0.282482752902307,Canute,1000Lux1,13-Dec-2023 23:26:02,1.00487731861271
1406930.80110497,0.0999983417871467,Canute,1000Lux1,14-Dec-2023 00:16:02,1.0415564891549
556246.46,-0.184808644231113,Canute,1000Lux1,14-Dec-2023 00:21:02,1.04339700617284
790838.385,-0.106267855509545,Canute,1000Lux1,14-Dec-2023 00:26:02,1.04686921296296
407686.307934014,-0.234546210926379,Canute,1000Lux1,14-Dec-2023 00:31:02,1.04934202343545
185321.794871795,-0.308993292766873,Canute,1000Lux1,14-Dec-2023 01:16:02,1.08312443943231
663503.71,-0.148899185663405,Canute,1000Lux1,14-Dec-2023 01:21:02,1.08506365740741
37890.62,-0.358352880726169,Canute,1000Lux1,14-Dec-2023 01:26:02,1.08853587962963
44545.0342348511,-0.356124999512929,Canute,1000Lux1,14-Dec-2023 01:31:02,1.09201039408118
345947.28,-0.255216282791983,Canute,1000Lux1,14-Dec-2023 01:36:02,1.09548032407408
602603.25,-0.169288507085727,Canute,1000Lux1,14-Dec-2023 01:41:02,1.0989525462963
473418.805,-0.212539135601,Canute,1000Lux1,14-Dec-2023 01:46:02,1.10242476851852
435226.69,-0.225325760012922,Canute,1000Lux1,14-Dec-2023 01:51:02,1.10589699074074
719749.57,-0.130068212659015,Canute,1000Lux1,14-Dec-2023 01:56:02,1.10936921296296
710882.88,-0.133036758255585,Canute,1000Lux1,14-Dec-2023 02:01:02,1.11284143518519
2908537.735,0.602732580989498,Canute,1000Lux1,14-Dec-2023 02:06:02,1.11631365740741
4226667.585,1.04403915220435,Canute,1000Lux1,14-Dec-2023 02:11:02,1.11978587962963
3457200.64690027,0.786423549222608,Canute,1000Lux1,14-Dec-2023 02:16:02,1.12324626260358
89040.56,-0.341228008969987,Canute,1000Lux1,14-Dec-2023 02:21:02,1.12673033564815
78922.925,-0.344615367818323,Canute,1000Lux1,14-Dec-2023 02:26:02,1.1302025462963
1156800.955,0.0162554960097873,Canute,1000Lux1,14-Dec-2023 02:31:02,1.13367476851852
503358.525,-0.20251539235876,Canute,1000Lux1,14-Dec-2023 02:36:02,1.13714699074074
316944.26,-0.264926421221119,Canute,1000Lux1,14-Dec-2023 02:41:02,1.14061921296296
72541.55,-0.346751836179833,Canute,1000Lux1,14-Dec-2023 02:46:02,1.14409143518519
356273.93,-0.251758946245333,Canute,1000Lux1,14-Dec-2023 02:51:02,1.14756365740741
291553.91,-0.273427046785774,Canute,1000Lux1,14-Dec-2023 02:56:02,1.15103587962963
173256.775,-0.313032631191127,Canute,1000Lux1,14-Dec-2023 03:01:02,1.15450810185186
359605.505,-0.250643543282571,Canute,1000Lux1,14-Dec-2023 03:06:02,1.15798032407408
999016.56,-0.0365703241085112,Canute,1000Lux1,14-Dec-2023 03:11:02,1.1614525462963
470559.742424242,-0.213496342588003,Canute,1000Lux1,14-Dec-2023 03:16:02,1.16491575087293
388083.31,-0.241109245519513,Canute,1000Lux1,14-Dec-2023 03:21:02,1.16839699459876
404382.485,-0.235652322566982,Canute,1000Lux1,14-Dec-2023 03:26:02,1.17186921296296
217960.048632219,-0.2980660871828,Canute,1000Lux1,14-Dec-2023 03:31:02,1.17455952380952
694730.757575758,-0.138444448374191,Canute,1000Lux1,14-Dec-2023 04:16:02,1.20781195442075
644154.65,-0.15537720247247,Canute,1000Lux1,14-Dec-2023 04:21:02,1.21006365740741
